KREIS_SUBKR_ID_19;Kreis_Subkr_Name_19_kurz;Abb_4_14;Abb_4_15;Abb_4_29;Abb_4_30;Abb_4_46;Abb_4_47;Abb_4_50;Abb_4_59;Abb_4_65;Abb_4_81;Abb_4_82;Abb_4_83;Abb_4_91;Abb_4_97;Abb_4_111;Abb_4_112;Abb_4_113;Abb_4_121;Abb_4_127;Abb_4_131;Abb_4_146;Abb_4_147;Abb_4_154;Abb_4_155;Abb_4_164;Abb_4_165;Abb_4_173;Abb_4_174;Abb_4_183;Abb_4_184;Abb_4_192;Abb_4_193;Abb_4_216;Abb_4_217;Abb_4_223;Abb_4_239;Abb_4_240;Abb_4_246;Abb_4_266;Abb_4_267;Abb_4_286;Abb_4_306;Abb_4_329
10510000;Lkr. Dithmarschen;1500 bis unter 2500;225 bis unter 300;1200 bis unter 1600;160 bis unter 220;1000 und mehr;150 bis unter 200;0,75 bis unter 1;1100 bis unter 1400;1100 bis unter 1400;100 bis unter 250;10 bis unter 30;0,8 bis unter 1;2300 bis unter 2600;1000 bis unter 1400;35 bis unter 50;10 bis unter 15;0,75 bis unter 1;750 bis unter 1000;750 bis unter 1000;4,5 bis unter 5;150 und mehr;50 bis unter 75;7,5 bis unter 10;15 bis unter 20;8 bis unter 13;2 bis unter 3,5;5 bis unter 7,5;2,5 bis unter 5;40 bis unter 60;20 bis unter 35;25 bis unter 30;40 bis unter 50;200 bis unter 300;15 bis unter 20;45 bis unter 70;2 bis unter 4;0,8 bis unter 1,35;50 bis unter 80;500 bis unter 750;5 bis unter 10;1 bis unter 2;2 bis unter 3;0,75 bis unter 1
10540002;Lkr. Nordfriesland (o. Sylt);2500 bis unter 4000;400 bis unter 650;1600 bis unter 2200;300 bis unter 430;1000 und mehr;200 und mehr;0,75 bis unter 1;1400 bis unter 1600;1400 bis unter 1600;400 bis unter 550;50 bis unter 70;0,8 bis unter 1;2600 bis unter 3000;1400 bis unter 1800;35 bis unter 50;20 bis unter 35;0,75 bis unter 1;750 bis unter 1000;1000 bis unter 1250;3,5 bis unter 4;150 und mehr;75 bis unter 100;7,5 bis unter 10;15 bis unter 20;8 bis unter 13;3,5 bis unter 7;5 bis unter 7,5;2,5 bis unter 5;40 bis unter 60;20 bis unter 35;20 bis unter 25;30 bis unter 40;300 bis unter 400;20 bis unter 35;70 bis unter 95;4 bis unter 6;1,35 bis unter 2,7;80 bis unter 120;750 bis unter 1250;15 bis unter 20;2 bis unter 3;2 bis unter 3;1,5 bis unter 2
10550000;Lkr. Ostholstein;2500 bis unter 4000;650 und mehr;2200 und mehr;430 und mehr;1000 und mehr;200 und mehr;0,75 bis unter 1;1600 bis unter 2000;1600 bis unter 2000;850 und mehr;110 und mehr;0,8 bis unter 1;4000 und mehr;2200 bis unter 2600;75 bis unter 100;35 bis unter 60;0,75 bis unter 1;1250 bis unter 1500;2000 und mehr;3,5 bis unter 4;150 und mehr;100 bis unter 150;6 bis unter 7,5;10 bis unter 15;8 bis unter 13;7 bis unter 20;3 bis unter 5;7,5 bis unter 10;40 bis unter 60;35 bis unter 65;15 bis unter 20;30 bis unter 40;300 bis unter 400;50 und mehr;190 bis unter 280;bis unter 2;0,8 bis unter 1,35;150 bis unter 250;250 bis unter 500;15 bis unter 20;3 bis unter 4;1 bis unter 2;1,5 bis unter 2
10580000;Lkr. Rendsburg-Eckernförde;2500 bis unter 4000;650 und mehr;2200 und mehr;430 und mehr;1000 und mehr;200 und mehr;0,75 bis unter 1;1600 bis unter 2000;1600 bis unter 2000;550 bis unter 700;90 bis unter 110;0,8 bis unter 1;3500 bis unter 4000;1400 bis unter 1800;75 bis unter 100;35 bis unter 60;0,75 bis unter 1;750 bis unter 1000;1000 bis unter 1250;3,5 bis unter 4;150 und mehr;50 bis unter 75;6 bis unter 7,5;bis unter 10;8 bis unter 13;20 und mehr;3 bis unter 5;20 und mehr;60 und mehr;20 bis unter 35;40 und mehr;50 bis unter 60;400 und mehr;35 bis unter 50;95 bis unter 135;12 bis unter 20;2,7 bis unter 6,5;120 bis unter 150;750 bis unter 1250;20 bis unter 30;3 bis unter 4;2 bis unter 3;1,5 bis unter 2
10590000;Lkr. Schleswig-Flensburg;2500 bis unter 4000;400 bis unter 650;2200 und mehr;430 und mehr;1000 und mehr;200 und mehr;0,75 bis unter 1;1100 bis unter 1400;1100 bis unter 1400;400 bis unter 550;90 bis unter 110;0,8 bis unter 1;3500 bis unter 4000;1400 bis unter 1800;50 bis unter 75;20 bis unter 35;0,75 bis unter 1;500 bis unter 750;750 bis unter 1000;5,5 und mehr;150 und mehr;75 bis unter 100;12,5 und mehr;15 bis unter 20;4 bis unter 5;3,5 bis unter 7;1 bis unter 2;2,5 bis unter 5;40 bis unter 60;10 bis unter 15;10 bis unter 15;bis unter 20;300 bis unter 400;20 bis unter 35;70 bis unter 95;bis unter 2;bis unter 0,15;80 bis unter 120;750 bis unter 1250;20 bis unter 30;2 bis unter 3;2 bis unter 3;1,5 bis unter 2
20000000;Hamburg;6000 und mehr;650 und mehr;2200 und mehr;430 und mehr;1000 und mehr;200 und mehr;0,75 bis unter 1;2500 und mehr;2500 und mehr;850 und mehr;110 und mehr;0,8 bis unter 1;4000 und mehr;2600 und mehr;100 und mehr;60 und mehr;0,75 bis unter 1;2000 und mehr;2000 und mehr;bis unter 3;150 und mehr;150 und mehr;4 bis unter 5;30 bis unter 35;13 und mehr;20 und mehr;10 und mehr;20 und mehr;60 und mehr;65 und mehr;25 bis unter 30;30 bis unter 40;400 und mehr;50 und mehr;280 und mehr;20 und mehr;6,5 und mehr;350 und mehr;100 bis unter 250;2,5 bis unter 5;5 bis unter 7,5;5 und mehr;0,75 bis unter 1
31510000;Lkr. Gifhorn;2500 bis unter 4000;400 bis unter 650;1600 bis unter 2200;300 bis unter 430;1000 und mehr;200 und mehr;0,75 bis unter 1;1600 bis unter 2000;1600 bis unter 2000;250 bis unter 400;30 bis unter 50;0,8 bis unter 1;2600 bis unter 3000;1400 bis unter 1800;20 bis unter 35;10 bis unter 15;0,75 bis unter 1;1000 bis unter 1250;1250 bis unter 1500;4,5 bis unter 5;100 bis unter 150;75 bis unter 100;4 bis unter 5;15 bis unter 20;13 und mehr;7 bis unter 20;10 und mehr;10 bis unter 20;20 bis unter 30;20 bis unter 35;20 bis unter 25;30 bis unter 40;400 und mehr;35 bis unter 50;70 bis unter 95;4 bis unter 6;1,35 bis unter 2,7;150 bis unter 250;1250 bis unter 2000;15 bis unter 20;2 bis unter 3;0,5 bis unter 1;0,75 bis unter 1
31570000;Lkr. Peine;1500 bis unter 2500;300 bis unter 400;1600 bis unter 2200;220 bis unter 300;1000 und mehr;150 bis unter 200;0,75 bis unter 1;1100 bis unter 1400;1100 bis unter 1400;250 bis unter 400;30 bis unter 50;0,8 bis unter 1;2600 bis unter 3000;1000 bis unter 1400;50 bis unter 75;20 bis unter 35;0,75 bis unter 1;750 bis unter 1000;1000 bis unter 1250;bis unter 3;80 bis unter 100;75 bis unter 100;4 bis unter 5;15 bis unter 20;8 bis unter 13;3,5 bis unter 7;10 und mehr;7,5 bis unter 10;40 bis unter 60;20 bis unter 35;40 und mehr;30 bis unter 40;400 und mehr;35 bis unter 50;95 bis unter 135;12 bis unter 20;6,5 und mehr;80 bis unter 120;250 bis unter 500;10 bis unter 15;3 bis unter 4;1 bis unter 2;0,75 bis unter 1
32410002;Reg. Hannover (Großr. Hannover);2500 bis unter 4000;650 und mehr;2200 und mehr;430 und mehr;1000 und mehr;200 und mehr;0,75 bis unter 1;2000 bis unter 2500;2000 bis unter 2500;850 und mehr;110 und mehr;0,8 bis unter 1;3000 bis unter 3500;1400 bis unter 1800;100 und mehr;60 und mehr;0,75 bis unter 1;1250 bis unter 1500;1250 bis unter 1500;3,5 bis unter 4;150 und mehr;150 und mehr;5 bis unter 6;25 bis unter 30;13 und mehr;20 und mehr;10 und mehr;10 bis unter 20;40 bis unter 60;65 und mehr;20 bis unter 25;30 bis unter 40;200 bis unter 300;50 und mehr;135 bis unter 190;12 bis unter 20;6,5 und mehr;150 bis unter 250;100 bis unter 250;5 bis unter 10;4 bis unter 5;2 bis unter 3;0,75 bis unter 1
32410003;Reg. Hannover (ländl. Gem.);2500 bis unter 4000;650 und mehr;2200 und mehr;430 und mehr;1000 und mehr;200 und mehr;0,75 bis unter 1;1600 bis unter 2000;1600 bis unter 2000;700 bis unter 850;90 bis unter 110;0,8 bis unter 1;2600 bis unter 3000;1400 bis unter 1800;75 bis unter 100;35 bis unter 60;0,75 bis unter 1;750 bis unter 1000;1000 bis unter 1250;3,5 bis unter 4;150 und mehr;150 und mehr;5 bis unter 6;20 bis unter 25;13 und mehr;7 bis unter 20;10 und mehr;2,5 bis unter 5;60 und mehr;65 und mehr;30 bis unter 40;30 bis unter 40;300 bis unter 400;35 bis unter 50;95 bis unter 135;8 bis unter 12;6,5 und mehr;120 bis unter 150;250 bis unter 500;10 bis unter 15;3 bis unter 4;1 bis unter 2;0,75 bis unter 1
32510000;Lkr. Diepholz;2500 bis unter 4000;400 bis unter 650;2200 und mehr;430 und mehr;1000 und mehr;200 und mehr;0,75 bis unter 1;1100 bis unter 1400;1400 bis unter 1600;700 bis unter 850;110 und mehr;0,8 bis unter 1;2600 bis unter 3000;1400 bis unter 1800;35 bis unter 50;15 bis unter 20;0,75 bis unter 1;500 bis unter 750;750 bis unter 1000;4,5 bis unter 5;100 bis unter 150;50 bis unter 75;4 bis unter 5;10 bis unter 15;13 und mehr;7 bis unter 20;10 und mehr;10 bis unter 20;40 bis unter 60;20 bis unter 35;30 bis unter 40;30 bis unter 40;300 bis unter 400;20 bis unter 35;70 bis unter 95;20 und mehr;6,5 und mehr;50 bis unter 80;750 bis unter 1250;30 und mehr;4 bis unter 5;1 bis unter 2;0,75 bis unter 1
32540000;Lkr. Hildesheim;2500 bis unter 4000;400 bis unter 650;2200 und mehr;300 bis unter 430;1000 und mehr;200 und mehr;0,75 bis unter 1;1100 bis unter 1400;1100 bis unter 1400;550 bis unter 700;70 bis unter 90;0,8 bis unter 1;2300 bis unter 2600;1000 bis unter 1400;100 und mehr;35 bis unter 60;0,75 bis unter 1;750 bis unter 1000;750 bis unter 1000;bis unter 3;150 und mehr;100 bis unter 150;5 bis unter 6;20 bis unter 25;13 und mehr;7 bis unter 20;10 und mehr;10 bis unter 20;60 und mehr;35 bis unter 65;40 und mehr;40 bis unter 50;300 bis unter 400;15 bis unter 20;70 bis unter 95;8 bis unter 12;2,7 bis unter 6,5;80 bis unter 120;250 bis unter 500;10 bis unter 15;4 bis unter 5;1 bis unter 2;0,75 bis unter 1
33510000;Lkr. Celle;2500 bis unter 4000;400 bis unter 650;2200 und mehr;300 bis unter 430;1000 und mehr;200 und mehr;0,75 bis unter 1;1100 bis unter 1400;1100 bis unter 1400;400 bis unter 550;30 bis unter 50;0,8 bis unter 1;2600 bis unter 3000;600 bis unter 1000;50 bis unter 75;20 bis unter 35;0,75 bis unter 1;750 bis unter 1000;bis unter 500;bis unter 3;150 und mehr;50 bis unter 75;6 bis unter 7,5;10 bis unter 15;8 bis unter 13;3,5 bis unter 7;5 bis unter 7,5;7,5 bis unter 10;60 und mehr;20 bis unter 35;30 bis unter 40;50 bis unter 60;300 bis unter 400;20 bis unter 35;45 bis unter 70;4 bis unter 6;1,35 bis unter 2,7;120 bis unter 150;750 bis unter 1250;10 bis unter 15;1 bis unter 2;1 bis unter 2;0,75 bis unter 1
33520000;Lkr. Cuxhaven;2500 bis unter 4000;400 bis unter 650;2200 und mehr;300 bis unter 430;1000 und mehr;200 und mehr;0,75 bis unter 1;1100 bis unter 1400;1100 bis unter 1400;700 bis unter 850;90 bis unter 110;0,8 bis unter 1;2600 bis unter 3000;1400 bis unter 1800;35 bis unter 50;15 bis unter 20;0,75 bis unter 1;500 bis unter 750;500 bis unter 750;4,5 bis unter 5;150 und mehr;50 bis unter 75;5 bis unter 6;10 bis unter 15;4 bis unter 5;2 bis unter 3,5;2 bis unter 3;2,5 bis unter 5;60 und mehr;20 bis unter 35;25 bis unter 30;40 bis unter 50;400 und mehr;20 bis unter 35;45 bis unter 70;20 und mehr;6,5 und mehr;50 bis unter 80;1250 bis unter 2000;20 bis unter 30;2 bis unter 3;1 bis unter 2;0,75 bis unter 1
33570000;Lkr. Rotenburg (Wümme);2500 bis unter 4000;300 bis unter 400;1600 bis unter 2200;220 bis unter 300;1000 und mehr;150 bis unter 200;0,75 bis unter 1;1100 bis unter 1400;1100 bis unter 1400;250 bis unter 400;30 bis unter 50;0,8 bis unter 1;2300 bis unter 2600;1000 bis unter 1400;35 bis unter 50;15 bis unter 20;0,75 bis unter 1;500 bis unter 750;500 bis unter 750;5,5 und mehr;100 bis unter 150;35 bis unter 50;4 bis unter 5;10 bis unter 15;5 bis unter 8;3,5 bis unter 7;5 bis unter 7,5;7,5 bis unter 10;30 bis unter 40;5 bis unter 10;25 bis unter 30;20 bis unter 30;400 und mehr;20 bis unter 35;45 bis unter 70;20 und mehr;2,7 bis unter 6,5;50 bis unter 80;1250 bis unter 2000;30 und mehr;2 bis unter 3;1 bis unter 2;0,75 bis unter 1
